date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
2022.11.29 00:00:58,월드컵 패배기념 김치코인 상승장은 안오냐?,월드컵 패배 기념 김치코인들의 분노의 파멸적 상승빔 한번씩 안오려나?,3680922
2022.11.29 00:01:46,바닥은 안깰거같은데,일반적으로 거래량이 없는 바닥이면 깨기 쉬울 수 있는데바닥권에서 대량 거래량나오면서 이번달 18일날 270% 슈팅 나왔기 때문에 악재 큰거 나오지만 않으면 우주방어선은 지켜주는 차트 아니냐?,3680923
2022.11.29 00:02:23,벤또야 추하다. 추가시간 10분 30초야,30초 더 줫어.코너킥 안줫다고 뭐라허지마라,3680924
date,title,content,no
2023-03-29T20:42:43,알고란드 사고친다~,~,4221215
2023-03-29T20:43:11,와 솔라 아직도 안탔어?,징하다 징해 ㅋㅋ ,4221216
2023-03-29T20:43:16,솔라때문에 돈복사인사람 개추,일단 나아님,4221217
date,title,content,no
2023-03-29T20:45:59,후 방금 솔라 뽀찌쫌 지여주고 탈출했다 ㅅㅂ,- dc official App,4221228
2023-03-29T20:46:14,10달러 챌린지 ,,4221229
2023-03-29T20:46:27,누사는 255원에 ㅈ박앗나,계속 저지랄하네 ,4221230
2023-03-29T20:46:30,바이낸스 거래량 > 바이낸스 뺀 나머지 거래소 거래량,엔진코인
 리퍼리움 왁스 보라 쿼크체인 디카르고 에이브 센티넬 샌박샌드박스 폴리매쓰 비골 메인프레임 레이븐 헤데라 톤 이오스 웨이브 
체인링크 라이크코인 아이콘 카바 카이버 칠리즈 포튜브 엘프 아크 스택스 크립토 룸네트워크 코박토큰 퀴즈톡 테조스 
비트코인캐시에이비씨 던프 아톰 비토비트토렌트 피르마체인 리플 빗썸 오브스 스팀달러 메디블록 골렘 시빅 에브리피디아 스트라이크 세럼
 디센트럴 쎄타토큰 누사이퍼 모스코인 마스크 아더 메타디움 퀀텀 솔라나 그로스톨 어거 스와이프 앵커 도지 스톰엑스 에스피티 온버프
 휴먼스케이프 무비블록 스텔라루멘 1인치 네오 센티프로토콜 펀디엑스 제로엑스 스토리지 하이브 스팀 헌트 폴카닷 솔브케어 코스모스 
바프 스트라티스 에이다 마로 아하 온톨로지 시아코인 넴 플로우 엠블 루나 이더리움클래식 업비트점검 쎄타퓨엘 베이직 저스트 펑션 
썸씽 오미세고 에스브이 메탈 쎄퓨 밀크 셀로 트론 아르고 캐리 비체인 리스크 파워렛저 썬더토큰 엑시인피니티 비트코인골드 알파쿼크'현'물' '거'래'는' '백'날' '해'봤'자' '큰' '수'익'을' '내'기' '힘'듭'니'다'.''비'교'적' '적'은' '돈'으'로' '대'박'난' '사'람'은' '전'부'바'이'낸'스' '선'물' '거'래'로' '배'율'을' '늘'려'서' '짧'은' '기'간'에' '큰' '돈'을' '벌'었'습'니'다'.''배'율'은' '1'배'부'터' '최'대' '1'2'5'배'까'지' '원'하'는'대'로' '언'제'든'지' '변'경'할' '수' '있'고'배'율'을' '롱'에' '1'0'0'배'로' '설'정'하'면' '시'세'가' '1'%' '오'를' '때'마'다' '2'배'의' '수'익'을' '반'복'해'서' '얻'을' '수' '있'으'며숏'에' '1'0'0'배'로' '설'정'하'면' '시'세'가' '1'%' '내'릴' '때'마'다' '2'배'의' '수'익'을' '반'복'해'서' '얻'는' '방'식'입'니'다'.''최'근' '앨'론' '머'스'크'도' '거'론'한' '비'트'코'인' '호'황'기'인' '만'큼전' '세'계'에'서' '가'장' '큰' '바'이'낸'스' '선'물' '거'래'소'에'서' '지'금' '기'회'를' '잡'으'세'요'.<' '바'이'낸'스' '가'입'링'크 '>''' '(''수'수'료' '2'0'%' '최'대'치' '할'인')',4221231
2023-03-29T20:46:39,세럼 아까 들어갔는데 지원군 없냐?,,4221232
2023-03-29T20:46:54,주식달인의 저녁 ㅍㅂㄹ,,4221233
date,title,content,no
2023-03-29T20:47:13,복사기 고장났나 왜 자꾸 몇개는 갈려서나오징..,우웅 ㅜㅜ,4221234
2023-03-29T20:47:36,솔라 전고점 뚫으러 갑니다 최종 목표 만원,만원행 열차 출발합니다,4221235
2023-03-29T20:47:38,ㅋㅋㅋ 쒸바 한두번 보냐 솔라 잘가면 530 정도야,초당으로 찍고 순식근에 510대로 내려올꺼다그때 못내리면 좆된다상투 싸움,4221236
2023-03-29T20:49:07,쏠라 대운지 폭포수 ㅌㅌㅌ,쫄았냐,4221237
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
date,title,content,no
2022.11.29 00:00:58,월드컵 패배기념 김치코인 상승장은 안오냐?,월드컵 패배 기념 김치코인들의 분노의 파멸적 상승빔 한번씩 안오려나?,3680922
2022.11.29 00:01:46,바닥은 안깰거같은데,일반적으로 거래량이 없는 바닥이면 깨기 쉬울 수 있는데바닥권에서 대량 거래량나오면서 이번달 18일날 270% 슈팅 나왔기 때문에 악재 큰거 나오지만 않으면 우주방어선은 지켜주는 차트 아니냐?,3680923
2022.11.29 00:02:23,벤또야 추하다. 추가시간 10분 30초야,30초 더 줫어.코너킥 안줫다고 뭐라허지마라,3680924
date,title,content,no
2023-03-29T20:51:58,솔라 오르락내리락 존나해서 단타로 먹기 좋네ㅜㅋㅋ,ㅋㅋㅋ ,4221255
2023-03-29T20:52:09,MASK ON,.,4221256
2023-03-29T20:52:39,비트빠져도 솔라더잘가노 오늘진짜 가는날인갑네,ㅋㅋㅋㅋ,4221257
2023-03-29T20:52:56,솔라 아직도 안탄애들 진짜 개불쌍하다 ㅋㅋㅋ,시체산이니 뭐니 뭔 개소리여 ㅋㅋ10분마다 24시간내 최고점 계속 찍는데 ㅋㅋㅋㅋ이걸 돈복사 못하면 진짜 코인판 접어야함. 1퍼센트의 재능도없는거임,4221258
2023-03-29T20:53:25,가는놈만 가는장 시작됫노 ,ㅋㅋㅋ,4221260
2023-03-29T20:54:15,베라시티 바이백 호재인듯?,,4221261
2023-03-29T20:55:05,솔라 지금 버거형들이 올리고 있는건데 시체산 좋아하네,,4221263
2023-03-29T20:55:13,아직도 업비트 쓰는 코린이,메디블록
 쿼크체인 센티넬 비체인 왁스 코스모스 엑시인피니티 펑션 그로스톨 웨이브 헌트 스트라티스 비골 리플 아톰 세럼 체인링크 헤데라 
퀴즈톡 시빅 코박토큰 센티프로토콜 카이버 업비트점검 썬더토큰 베이직 캐리 이더리움클래식 앵커 비트코인캐시에이비씨 폴리매쓰 에이다 
펀디엑스 밀크 디카르고 파워렛저 메타디움 마스크 스텔라루멘 아하 솔라나 리퍼리움 에이브 시아코인 스팀달러 룸네트워크 리스크 
비트코인골드 무비블록 스와이프 솔브케어 엔진코인 온톨로지 스트라이크 메탈 스토리지 썸씽 어거 바프 제로엑스 루나 카바 에브리피디아
 크립토 휴먼스케이프 에스피티 오브스 아크 디센트럴 오미세고 셀로 퀀텀 네오 이오스 온버프 칠리즈 아르고 스팀 스톰엑스 보라 
피르마체인 엘프 던프 마로 쎄타토큰 도지 쎄퓨 넴 엠블 알파쿼크 쎄타퓨엘 에스브이 빗썸 비토비트토렌트 메인프레임 누사이퍼 스택스 톤
 플로우 저스트 골렘 폴카닷 아더 샌박샌드박스 모스코인 1인치 아이콘 테조스 레이븐 트론 라이크코인 하이브 포튜브'현'물' '거'래'는' '백'날' '해'봤'자' '큰' '수'익'을' '내'기' '힘'듭'니'다'.''비'교'적' '적'은' '돈'으'로' '대'박'난' '사'람'은' '전'부'바'이'낸'스' '선'물' '거'래'로' '배'율'을' '늘'려'서' '짧'은' '기'간'에' '큰' '돈'을' '벌'었'습'니'다'.''배'율'은' '1'배'부'터' '최'대' '1'2'5'배'까'지' '원'하'는'대'로' '언'제'든'지' '변'경'할' '수' '있'고'배'율'을' '롱'에' '1'0'0'배'로' '설'정'하'면' '시'세'가' '1'%' '오'를' '때'마'다' '2'배'의' '수'익'을' '반'복'해'서' '얻'을' '수' '있'으'며숏'에' '1'0'0'배'로' '설'정'하'면' '시'세'가' '1'%' '내'릴' '때'마'다' '2'배'의' '수'익'을' '반'복'해'서' '얻'는' '방'식'입'니'다'.''최'근' '앨'론' '머'스'크'도' '거'론'한' '비'트'코'인' '호'황'기'인' '만'큼전' '세'계'에'서' '가'장' '큰' '바'이'낸'스' '선'물' '거'래'소'에'서' '지'금' '기'회'를' '잡'으'세'요'.<' '바'이'낸'스' '가'입'링'크 '>''' '(''수'수'료' '2'0'%' '최'대'치' '할'인')',4221264
2023-03-29T20:55:43,쏘쏘하겜.ㅎ,걍 정보매매할때 굳이 한템포 느린 유튜브나블로그에서얻지말고 실시간으로 알림받는거추천함그래서 코인판에서 텔레그램은 필수임 (실시간으로 정보 알림을 받아야됨 조금이라도늦으면호재소멸임) 광고가아니라 무조건 pc어플 둘다깔아서 항상 실시간정보 알림받는걸 추천함ㅇㅇ 텔방 내가주로쓰는곳 7개만알려줄게 워낙텔레그램 정보방이많다보니 여러개등록하면 알람이계속울려서 정신없음 (7개정도만알림받는게좋아) -텔레그램 검색창에 제목 그대로검색-(대화방있는쪽 대충위쪽에올리면검색창있땅)1. 원코인 one coin 정보채널모든정보뉴스가 최신 호재퍼드 뉴스가 바로제공됨 속도가젤빠름 거래소공지도 중요한것도올려줌2 shrimp_notice여긴 거래소공지방인데 거래소입출금공지펌핑+가장중요한거래소 코인 상장 공지알림임 여긴필수임3 enjoymyhobby여기도 뉴스정보제공하는곳임4 tdrsch여긴 업비트코인시그널 매수매도보내주는곳임 잘맞춤 ㅇㅇ 5 일론종목알리미일론트윗만전문적으로 알림보내주는곳 = 관종머스크.ㅎ6 blockmedia여기도 정보제공해주는곳인데 원코인/취미생활/블록미디어 3개정도면충분함7 코인니스여긴뭐 알만한사람들다아는곳 이것도 텔레그램알람으로받는게 좋음따악정륌,4221265
2023-03-29T20:55:48,이제 불장 초입이고 돈 쓸어보자,ㅇㅇ,4221266
date,title,content,no
2023-03-29T20:56:07,세럼 세력 있다는거 사실이냐,단순 개미털기고 2주동안 다시 올린다는거 맞냐,4221267
2023-03-29T20:56:17,세럼 가망 없냐??,,4221268
